Device,Model,Seq_Len,MSE,MAE
设备0,iTransformer,3,0.08031267,0.039017703
设备0,iTransformer,6,0.078732654,0.043115407
设备0,iTransformer,12,0.0790551,0.05023389
设备0,iTransformer,24,0.07379662,0.055198286
设备1,PatchTST,3,0.0020524643,0.002750292
设备1,PatchTST,6,0.0020022676,0.0027740048
设备1,PatchTST,12,0.0019820628,0.003070636
设备1,PatchTST,24,0.00216351,0.0053460514
设备10,PatchTST,3,0.0029667397,0.0039037776
设备10,PatchTST,6,0.0029833831,0.0043963995
设备10,PatchTST,12,0.0030225269,0.004299477
设备10,PatchTST,24,0.0030998453,0.0056493566
设备11,PatchTST,3,0.002969548,0.0039351443
设备11,PatchTST,6,0.002987341,0.004368067
设备11,PatchTST,12,0.0030384602,0.004446755
设备11,PatchTST,24,0.0030846044,0.005440263
设备12,iTransformer,3,0.0019749827,0.0038120153
设备12,iTransformer,6,0.0019752954,0.0028484522
设备12,iTransformer,12,0.001991477,0.0031343105
设备12,iTransformer,24,0.0019733508,0.0030960785
设备13,iTransformer,3,0.0019736069,0.0036267075
设备13,iTransformer,6,0.0019905057,0.0029567326
设备13,iTransformer,12,0.0019865134,0.0030769736
设备13,iTransformer,24,0.001969219,0.0030428017
设备14,iTransformer,3,0.11092614,0.053661976
设备14,iTransformer,6,0.10786377,0.05577519
设备14,iTransformer,12,0.10853982,0.061807662
设备14,iTransformer,24,0.10871711,0.064699374
设备15,PatchTST,3,2.465733e-07,0.0004965615
设备15,PatchTST,6,1.7512978e-07,0.00041848508
设备15,PatchTST,12,3.1572127e-09,5.618908e-05
设备15,PatchTST,24,2.5434421e-09,5.0432558e-05
设备16,PatchTST,3,0.0039985003,0.006522143
设备16,PatchTST,6,0.0035161434,0.0050372947
设备16,PatchTST,12,0.0037470676,0.0069752093
设备16,PatchTST,24,0.0035076954,0.0056454227
设备17,PatchTST,3,0.0028741485,0.00412511
设备17,PatchTST,6,0.0029972072,0.0043860697
设备17,PatchTST,12,0.0031008369,0.005974309
设备17,PatchTST,24,0.0029516998,0.004713346
设备18,PatchTST,3,0.0029291867,0.0040309913
设备18,PatchTST,6,0.0030454546,0.00470624
设备18,PatchTST,12,0.0031203355,0.0060113654
设备18,PatchTST,24,0.002984402,0.0047649303
设备19,iTransformer,3,0.045381866,0.017258871
设备19,iTransformer,6,0.04493077,0.017718712
设备19,iTransformer,12,0.044986703,0.017753521
设备19,iTransformer,24,0.0445059,0.019047417
设备2,iTransformer,3,0.009394818,0.011969412
设备2,iTransformer,6,0.0094539635,0.012260216
设备2,iTransformer,12,0.009466154,0.013284748
设备2,iTransformer,24,0.009646722,0.01685101
设备20,PatchTST,3,0.04348417,0.01566454
设备20,PatchTST,6,0.04393384,0.01715763
设备20,PatchTST,12,0.045286164,0.0211846
设备20,PatchTST,24,0.04356054,0.020540085
设备21,PatchTST,3,0.002485752,0.0041545383
设备21,PatchTST,6,0.002484883,0.0036265284
设备21,PatchTST,12,0.0027059335,0.0054579526
设备21,PatchTST,24,0.0025261468,0.004072077
设备23,iTransformer,3,0.0024706263,0.0045577027
设备23,iTransformer,6,0.0024615433,0.003574703
设备23,iTransformer,12,0.0024643068,0.0033985316
设备23,iTransformer,24,0.0024652672,0.0032627115
设备24,iTransformer,3,0.0024666062,0.0043152785
设备24,iTransformer,6,0.002462251,0.0036745672
设备24,iTransformer,12,0.0024661971,0.0034943917
设备24,iTransformer,24,0.0024668996,0.0033007052
设备25,iTransformer,3,0.0024677038,0.004408737
设备25,iTransformer,6,0.0024617768,0.0035991475
设备25,iTransformer,12,0.0024664595,0.0035440205
设备25,iTransformer,24,0.0024705455,0.003500441
设备26,PatchTST,3,0.0015077317,0.0019181718
设备26,PatchTST,6,0.0015045145,0.002328643
设备26,PatchTST,12,0.001515069,0.0024015105
设备26,PatchTST,24,0.0015310856,0.0026363465
设备27,PatchTST,3,0.002056589,0.0029294037
设备27,PatchTST,6,0.0019915546,0.0027473196
设备27,PatchTST,12,0.0020358432,0.0032047173
设备27,PatchTST,24,0.0021721844,0.004143557
设备27,PatchTST,6,0.0024643748,0.005173866
设备27,PatchTST,12,0.0020313254,0.0034199494
设备27,PatchTST,24,0.0020305652,0.0031681873
设备28,PatchTST,3,0.002057569,0.00318292
设备28,PatchTST,6,0.0020616606,0.0029662524
设备28,PatchTST,12,0.002051405,0.0031471169
设备28,PatchTST,24,0.0021036395,0.004149332
设备29,PatchTST,3,0.0021289953,0.003392668
设备29,PatchTST,6,0.0020200019,0.0027337845
设备29,PatchTST,12,0.0020463478,0.0040769577
设备29,PatchTST,24,0.0022772667,0.005297648
设备3,iTransformer,3,0.0073843244,0.009193831
设备3,iTransformer,6,0.007377179,0.00837154
设备3,iTransformer,12,0.0074153272,0.009107405
设备3,iTransformer,24,0.007387712,0.009993039
设备30,PatchTST,3,0.0021180634,0.0030267364
设备30,PatchTST,6,0.001978396,0.003131324
设备30,PatchTST,12,0.0020496172,0.0032466636
设备30,PatchTST,24,0.002202848,0.005219309
设备31,PatchTST,3,0.0021034465,0.0027709643
设备31,PatchTST,6,0.001983592,0.0031106083
设备31,PatchTST,12,0.0022447617,0.0054296344
设备31,PatchTST,24,0.002089916,0.003988034
设备32,PatchTST,3,0.0022631949,0.003300414
设备32,PatchTST,6,0.0020791704,0.003374644
设备32,PatchTST,12,0.002041683,0.003196894
设备32,PatchTST,24,0.0020048073,0.003296324
设备33,PatchTST,3,0.0027850627,0.0042691203
设备33,PatchTST,6,0.0025897871,0.003918967
设备33,PatchTST,12,0.0025254588,0.003891721
设备33,PatchTST,24,0.002557396,0.005149141
设备34,PatchTST,3,0.0020547276,0.0027303195
设备34,PatchTST,6,0.0019827571,0.0030786847
设备34,PatchTST,12,0.0020032038,0.0032266527
设备34,PatchTST,24,0.00212425,0.0047562467
设备35,PatchTST,3,0.0025504204,0.0039019873
设备35,PatchTST,6,0.002759667,0.0042442507
设备35,PatchTST,12,0.002691139,0.0052539106
设备35,PatchTST,24,0.0025996484,0.004698409
设备36,PatchTST,3,0.0025339785,0.0033750676
设备36,PatchTST,6,0.002517576,0.003816634
设备36,PatchTST,12,0.0025885839,0.0040848036
设备36,PatchTST,24,0.002584301,0.0048607592
设备37,PatchTST,3,0.0024762033,0.0032913568
设备37,PatchTST,6,0.0024848618,0.0037262037
设备37,PatchTST,12,0.0026106718,0.004340513
设备37,PatchTST,24,0.0025031413,0.003996478
设备38,PatchTST,3,0.0010592445,0.0015163833
设备38,PatchTST,6,0.0010875661,0.0019039108
设备38,PatchTST,12,0.0010074656,0.0017759753
设备38,PatchTST,24,0.0010117261,0.0017602218
设备39,iTransformer,3,0.071580686,0.021597136
设备39,iTransformer,6,0.0731886,0.023041131
设备39,iTransformer,12,0.07646843,0.028857848
设备39,iTransformer,24,0.08605952,0.04014917
设备4,PatchTST,3,0.0035744966,0.004984239
设备4,PatchTST,6,0.0035440647,0.005322096
设备4,PatchTST,12,0.0035856154,0.0058081383
设备4,PatchTST,24,0.0035177935,0.005689864
设备40,PatchTST,3,0.0049672816,0.006145119
设备40,PatchTST,6,0.0050580557,0.007039571
设备40,PatchTST,12,0.004934682,0.0064406535
设备40,PatchTST,24,0.0050109243,0.0076694153
设备42,iTransformer,3,0.0046387,0.007125594
设备42,iTransformer,6,0.0044700378,0.006926059
设备42,iTransformer,12,0.004492447,0.0071957465
设备42,iTransformer,24,0.0048356205,0.008797025
设备43,PatchTST,3,0.005283706,0.007662861
设备43,PatchTST,6,0.004930655,0.0071837115
设备43,PatchTST,12,0.004989932,0.0072734877
设备43,PatchTST,24,0.0049380274,0.008047898
设备44,iTransformer,3,0.015255256,0.017142816
设备44,iTransformer,6,0.015116726,0.018107386
设备44,iTransformer,12,0.015197751,0.020156348
设备44,iTransformer,24,0.014799685,0.026072614
设备45,iTransformer,3,0.015256839,0.017192328
设备45,iTransformer,6,0.015113928,0.018104322
设备45,iTransformer,12,0.015194061,0.020120615
设备45,iTransformer,24,0.014538859,0.023733051
设备46,PatchTST,3,0.0029881184,0.004416784
设备46,PatchTST,6,0.003274265,0.0055001266
设备46,PatchTST,12,0.003014911,0.004470278
设备46,PatchTST,24,0.0032177907,0.00733755
设备47,PatchTST,3,0.0009929421,0.0016193842
设备47,PatchTST,6,0.0010102079,0.0017170379
设备47,PatchTST,12,0.0010323602,0.0017556356
设备47,PatchTST,24,0.0010556149,0.0022176458
设备48,PatchTST,3,0.0010155808,0.001462062
设备48,PatchTST,6,0.001019113,0.0016673792
设备48,PatchTST,12,0.0010113405,0.0015559177
设备48,PatchTST,24,0.001048662,0.002441017
设备49,iTransformer,3,0.022572642,0.02070538
设备49,iTransformer,6,0.021516534,0.019696182
设备49,iTransformer,12,0.021936271,0.022304852
设备49,iTransformer,24,0.021662848,0.02317206
设备5,PatchTST,3,0.0026690965,0.0037219224
设备5,PatchTST,6,0.0025173726,0.0042543467
设备5,PatchTST,12,0.0028775164,0.0062673055
设备5,PatchTST,24,0.002660961,0.0053739445
设备50,iTransformer,3,0.008464606,0.01208687
设备50,iTransformer,6,0.0085895015,0.012341275
设备50,iTransformer,12,0.008635019,0.013194989
设备50,iTransformer,24,0.008528377,0.013837003
设备51,iTransformer,3,0.0074550626,0.010865238
设备51,iTransformer,6,0.0074270936,0.010703566
设备51,iTransformer,12,0.007575225,0.012686283
设备51,iTransformer,24,0.0074998764,0.012804618
设备52,iTransformer,3,0.04434499,0.032821085
设备52,iTransformer,6,0.043570686,0.032799598
设备52,iTransformer,12,0.044297595,0.035422675
设备52,iTransformer,24,0.043484833,0.035668153
设备53,iTransformer,3,0.014563571,0.019087499
设备53,iTransformer,6,0.014501427,0.019727072
设备53,iTransformer,12,0.014685654,0.021558834
设备53,iTransformer,24,0.014694916,0.024385976
设备54,iTransformer,3,0.012904245,0.016253168
设备54,iTransformer,6,0.012953015,0.016594417
设备54,iTransformer,12,0.012866009,0.016485909
设备54,iTransformer,24,0.012857295,0.019325739
设备55,iTransformer,3,0.012992915,0.016923832
设备55,iTransformer,6,0.012912138,0.01619879
设备55,iTransformer,12,0.01285904,0.016365273
设备55,iTransformer,24,0.012803222,0.019188395
设备56,PatchTST,3,0.0005679302,0.0013113497
设备56,PatchTST,6,0.00062954443,0.0011168941
设备56,PatchTST,12,0.00069726334,0.0025501654
设备56,PatchTST,24,0.00056776474,0.0014744237
设备57,iTransformer,3,0.008020162,0.0108179925
设备57,iTransformer,6,0.00778319,0.011133772
设备57,iTransformer,12,0.008248694,0.011911855
设备57,iTransformer,24,0.008120376,0.014739897
设备58,PatchTST,3,3.8358415e-08,0.00019585303
设备58,PatchTST,6,3.006685e-06,0.0017339793
设备58,PatchTST,12,2.5040845e-07,0.00050040835
设备58,PatchTST,24,1.2598632e-08,0.00011224361
设备58,PatchTST,3,2.3583624e-07,0.00048562972
设备58,PatchTST,6,1.2656342e-06,0.0011250041
设备58,PatchTST,12,1.9459913e-08,0.0001394988
设备58,PatchTST,24,3.701039e-07,0.0006083617
设备6,PatchTST,3,0.0026057854,0.0038821003
设备6,PatchTST,6,0.002586826,0.0036617874
设备6,PatchTST,12,0.0030616864,0.0071834116
设备6,PatchTST,24,0.002583136,0.0047823936
设备60,PatchTST,3,0.0005816027,0.001302353
设备60,PatchTST,6,0.0005928503,0.001062938
设备60,PatchTST,12,0.0005314889,0.0014775818
设备60,PatchTST,24,0.0005547139,0.0023971605
设备61,PatchTST,3,0.00051369733,0.001723387
设备61,PatchTST,6,0.00056784693,0.0008988436
设备61,PatchTST,12,0.0005961496,0.0013674065
设备61,PatchTST,24,0.00052024337,0.0013549383
设备63,PatchTST,3,0.0020449508,0.0032508718
设备63,PatchTST,6,0.0019696127,0.0032200688
设备63,PatchTST,12,0.0020372462,0.0032515076
设备63,PatchTST,24,0.0020608117,0.0037670804
设备64,PatchTST,3,0.0019665102,0.0028406733
设备64,PatchTST,6,0.0019749275,0.003156718
设备64,PatchTST,12,0.0020543528,0.0034822444
设备64,PatchTST,24,0.002134748,0.004673152
设备65,PatchTST,3,0.002109315,0.0031420342
设备65,PatchTST,6,0.0021124561,0.003121409
设备65,PatchTST,12,0.0019935537,0.0030643125
设备65,PatchTST,24,0.0022606994,0.0056460295
设备66,PatchTST,3,0.0020806647,0.0032697162
设备66,PatchTST,6,0.002140631,0.003344046
设备66,PatchTST,12,0.0020199267,0.0031191034
设备66,PatchTST,24,0.0021241875,0.004509523
设备67,PatchTST,3,0.0020107878,0.0034736271
设备67,PatchTST,6,0.0022099789,0.004243684
设备67,PatchTST,12,0.0021576204,0.0041258824
设备67,PatchTST,24,0.0020409983,0.003936459
设备69,PatchTST,3,0.000494213,0.0015881062
设备69,PatchTST,6,0.0005648914,0.0011379432
设备69,PatchTST,12,0.00058140076,0.001253182
设备69,PatchTST,24,0.0005339597,0.0011069041
设备69,PatchTST,3,0.0005456878,0.0016947263
设备69,PatchTST,6,0.0005986322,0.0010437559
设备69,PatchTST,12,0.0005178073,0.0014475763
设备69,PatchTST,24,0.0005324021,0.00106229
设备7,PatchTST,3,0.0021783619,0.004294602
设备7,PatchTST,6,0.0015352202,0.002531691
设备7,PatchTST,12,0.0014160243,0.0025811049
设备7,PatchTST,24,0.0014652875,0.002926923
设备70,PatchTST,3,0.0004958625,0.0016880956
设备70,PatchTST,6,0.0005602395,0.0011936274
设备70,PatchTST,12,0.0005743878,0.0012898208
设备70,PatchTST,24,0.0005206702,0.0012980949
设备71,iTransformer,3,0.022202529,0.02448764
设备71,iTransformer,6,0.02161108,0.025142241
设备71,iTransformer,12,0.021336535,0.025292551
设备71,iTransformer,24,0.020764533,0.026371703
设备72,iTransformer,3,0.022164786,0.024439998
设备72,iTransformer,6,0.021610552,0.02515231
设备72,iTransformer,12,0.021317532,0.02527205
设备72,iTransformer,24,0.020824503,0.026381299
设备73,iTransformer,3,0.021830678,0.023573348
设备73,iTransformer,6,0.021260794,0.02432631
设备73,iTransformer,12,0.021377724,0.025865966
设备73,iTransformer,24,0.021781359,0.031628888
设备74,iTransformer,3,0.021279145,0.022893997
设备74,iTransformer,6,0.0212011,0.023454858
设备74,iTransformer,12,0.021302167,0.027938105
设备74,iTransformer,24,0.021126874,0.030981211
设备75,iTransformer,3,0.06874662,0.045934655
设备75,iTransformer,6,0.0713175,0.052270696
设备75,iTransformer,12,0.07046896,0.053019542
设备75,iTransformer,24,0.06657983,0.04503285
设备76,iTransformer,3,0.020101564,0.025033547
设备76,iTransformer,6,0.020034516,0.025821827
设备76,iTransformer,12,0.019890336,0.026711693
设备76,iTransformer,24,0.019891389,0.03274792
设备78,iTransformer,3,0.0014934242,0.003913742
设备78,iTransformer,6,0.0015269725,0.0027861274
设备78,iTransformer,12,0.0015246758,0.0024963815
设备78,iTransformer,24,0.0015338658,0.0023784724
设备79,iTransformer,3,0.012988945,0.014641686
设备79,iTransformer,6,0.012790801,0.014982049
设备79,iTransformer,12,0.012856033,0.016725764
设备79,iTransformer,24,0.013576289,0.023441916
设备8,PatchTST,3,5.9908867e-10,2.4476289e-05
设备8,PatchTST,6,6.810804e-08,0.00026097518
设备8,PatchTST,12,7.0957384e-10,2.663783e-05
设备8,PatchTST,24,2.4338862e-09,4.9334427e-05
设备80,iTransformer,3,0.013077599,0.01431643
设备80,iTransformer,6,0.012767777,0.013948069
设备80,iTransformer,12,0.0128042735,0.015166486
设备80,iTransformer,24,0.012772795,0.018784918
设备81,PatchTST,3,9.831092e-09,9.915186e-05
设备81,PatchTST,6,7.918826e-07,0.00088987785
设备81,PatchTST,12,6.418893e-12,2.5335535e-06
设备81,PatchTST,24,7.252025e-08,0.00026929582
设备82,PatchTST,3,0.0010197455,0.0015955396
设备82,PatchTST,6,0.0010107282,0.0020058013
设备82,PatchTST,12,0.0010661543,0.001897517
设备82,PatchTST,24,0.0010683641,0.0020563977
设备83,Informer,3,2.3772776,0.56660193
设备83,Informer,6,2.3744342,0.48976746
设备83,Informer,12,2.3839843,0.51682705
设备83,Informer,24,2.350578,0.45705083
设备83,Informer,3,2.5249283,0.5477521
设备83,Informer,6,2.538219,0.54904264
设备83,Informer,12,2.5340602,0.5272411
设备83,Informer,24,2.5500891,0.50387
设备85,PatchTST,3,0.0009925374,0.001249241
设备85,PatchTST,6,0.0010119101,0.0018369593
设备85,PatchTST,12,0.0010497447,0.0018156511
设备85,PatchTST,24,0.0010788341,0.0024997897
设备86,PatchTST,3,0.001005109,0.0013263016
设备86,PatchTST,6,0.0009908302,0.0019180304
设备86,PatchTST,12,0.0010227378,0.0020236848
设备86,PatchTST,24,0.0010232441,0.0020567458
设备9,PatchTST,3,7.138921e-09,8.449214e-05
设备9,PatchTST,6,4.894632e-07,0.00069961627
设备9,PatchTST,12,1.589449e-08,0.00012607336
设备9,PatchTST,24,1.2039463e-08,0.00010972448
