Device,Model,Seq_Len,MSE,MAE
设备0,iTransformer,3,0.08109355,0.039662123
设备0,iTransformer,6,0.08001984,0.043728363
设备0,iTransformer,12,0.07957427,0.051965594
设备0,iTransformer,24,0.07380967,0.050934985
设备1,PatchTST,3,0.0020960155,0.002867773
设备1,PatchTST,6,0.001972269,0.0029067402
设备1,PatchTST,12,0.002155353,0.0041152705
设备1,PatchTST,24,0.0021550937,0.004586459
设备10,PatchTST,3,0.002977719,0.004173195
设备10,PatchTST,6,0.0031184906,0.004883328
设备10,PatchTST,12,0.0029893385,0.004300164
设备10,PatchTST,24,0.0031012907,0.0059229718
设备11,PatchTST,3,0.0029887059,0.004188184
设备11,PatchTST,6,0.0031138323,0.004881348
设备11,PatchTST,12,0.0029969926,0.00432881
设备11,PatchTST,24,0.0031244352,0.0062765493
设备12,iTransformer,3,0.0019782512,0.0036935133
设备12,iTransformer,6,0.001978884,0.0028061143
设备12,iTransformer,12,0.0019784258,0.0030648843
设备12,iTransformer,24,0.0019739582,0.0031315496
设备13,iTransformer,3,0.0019743512,0.0036314104
设备13,iTransformer,6,0.0019819844,0.002863295
设备13,iTransformer,12,0.001985386,0.0029912302
设备13,iTransformer,24,0.0019689426,0.0031000313
设备14,iTransformer,3,0.11092055,0.05353921
设备14,iTransformer,6,0.10781243,0.055789117
设备14,iTransformer,12,0.10866965,0.06196589
设备14,iTransformer,24,0.10752924,0.06823503
设备15,PatchTST,3,7.3192844e-08,0.00027054173
设备15,PatchTST,6,9.977423e-07,0.0009988706
设备15,PatchTST,12,3.229804e-08,0.00017971659
设备15,PatchTST,24,9.804375e-08,0.00031311944
设备16,PatchTST,3,0.0039485986,0.005577442
设备16,PatchTST,6,0.0035379417,0.005148872
设备16,PatchTST,12,0.0036144871,0.005632962
设备16,PatchTST,24,0.0035172733,0.005603015
设备17,PatchTST,3,0.0029380836,0.003791222
设备17,PatchTST,6,0.0029569224,0.0043007066
设备17,PatchTST,12,0.0030117172,0.0051261787
设备17,PatchTST,24,0.0031249637,0.0050498736
设备18,PatchTST,3,0.0029269457,0.0042057335
设备18,PatchTST,6,0.0029617343,0.0042222454
设备18,PatchTST,12,0.002949926,0.0041797333
设备18,PatchTST,24,0.003022423,0.0054286537
设备19,iTransformer,3,0.04541601,0.017231947
设备19,iTransformer,6,0.044874866,0.017706787
设备19,iTransformer,12,0.044982083,0.017593538
设备19,iTransformer,24,0.04446958,0.019004762
设备2,iTransformer,3,0.00939352,0.011948154
设备2,iTransformer,6,0.009450887,0.012275443
设备2,iTransformer,12,0.009452934,0.013293687
设备2,iTransformer,24,0.009677533,0.017110508
设备20,PatchTST,3,0.043778133,0.016404968
设备20,PatchTST,6,0.04397548,0.01714351
设备20,PatchTST,12,0.04398512,0.018413544
设备20,PatchTST,24,0.045787707,0.02154322
设备21,PatchTST,3,0.0025538234,0.0037376094
设备21,PatchTST,6,0.0024731108,0.0038576466
设备21,PatchTST,12,0.002749979,0.0047893394
设备21,PatchTST,24,0.002510414,0.0039055278
设备23,iTransformer,3,0.002466521,0.0042937207
设备23,iTransformer,6,0.0024622388,0.0036584116
设备23,iTransformer,12,0.002464839,0.0033980685
设备23,iTransformer,24,0.0024649855,0.0032660167
设备24,iTransformer,3,0.0024665748,0.004268123
设备24,iTransformer,6,0.002462844,0.0037460728
设备24,iTransformer,12,0.0024668672,0.0035019617
设备24,iTransformer,24,0.0024670546,0.003315219
设备25,iTransformer,3,0.0024673918,0.0043231877
设备25,iTransformer,6,0.002461844,0.0036661879
设备25,iTransformer,12,0.0024669648,0.0035338446
设备25,iTransformer,24,0.002469824,0.003499405
设备26,PatchTST,3,0.0016098936,0.002746476
设备26,PatchTST,6,0.0015339318,0.0024161888
设备26,PatchTST,12,0.0014964272,0.0025367273
设备26,PatchTST,24,0.001617277,0.003808477
设备27,PatchTST,3,0.0019969211,0.0023800605
