Device,Model,Seq_Len,MSE,MAE,RMSE
设备83,DLinear,3,3.5514848,1.0926315,1.8845384
设备83,DLinear,6,3.2793612,0.8396631,1.8109007
设备83,DLinear,12,2.8478377,0.54095984,1.6875538
设备83,DLinear,24,2.7227483,0.52779996,1.6500752
设备83,Informer,3,2.6924236,0.5721167,1.6408607
设备83,Informer,6,2.6633325,0.529815,1.631972
设备83,Informer,12,2.6783178,0.5230806,1.6365567
设备83,Informer,24,2.6819382,0.4693252,1.6376624
设备83,PatchTST,3,2.756326,0.39650172,1.6602186
设备83,PatchTST,6,2.6941085,0.42335474,1.641374
设备83,PatchTST,12,2.8855858,0.576166,1.6987013
设备83,PatchTST,24,2.6684332,0.48853862,1.633534
设备83,TimesNet,6,2.7450454,0.42038164,1.6568179
设备83,TimesNet,12,2.7125971,0.4431644,1.6469964
设备83,TimesNet,24,2.6666677,0.4661867,1.6329935
设备83,iTransformer,3,2.7546449,0.39114028,1.6597123
设备83,iTransformer,6,2.8495169,0.4183465,1.6880512
设备83,iTransformer,12,2.868791,0.458958,1.6937506
设备83,iTransformer,24,2.668829,0.455774,1.6336551
设备58,DLinear,3,0.43191108,0.6571995,0.65719944
设备58,DLinear,6,0.30703002,0.5541029,0.5541029
设备58,DLinear,12,0.0014618485,0.03823412,0.038234126
设备58,DLinear,24,0.00617388,0.078574054,0.07857404
设备58,Informer,3,0.001211528,0.029191466,0.03480701
设备58,Informer,6,0.024609685,0.1489911,0.15687475
设备58,Informer,12,0.0017809033,0.03566139,0.04220075
设备58,Informer,24,0.0003097574,0.014079298,0.017599925
设备58,PatchTST,3,1.5239668e-06,0.0012344905,0.0012344905
设备58,PatchTST,6,2.8434283e-07,0.00053323805,0.00053323805
设备58,PatchTST,12,9.4377846e-08,0.0003072098,0.0003072098
设备58,PatchTST,24,3.095479e-07,0.0005563702,0.0005563703
设备58,TimesNet,3,1.0310828e-05,0.002766885,0.0032110477
设备58,TimesNet,6,6.2163735e-06,0.0021843377,0.0024932656
设备58,TimesNet,12,3.3759445e-06,0.0015669292,0.0018373744
设备58,TimesNet,24,3.6723733e-07,0.0005094809,0.0006060011
设备58,iTransformer,3,5.570786e-06,0.002360251,0.0023602513
设备58,iTransformer,6,2.0295272e-06,0.0014246147,0.0014246148
设备58,iTransformer,12,9.356793e-07,0.0009673052,0.00096730515
设备58,iTransformer,24,4.2815003e-07,0.0006543077,0.00065433176
设备69,DLinear,3,0.617354,0.67331666,0.78571874
设备69,DLinear,6,0.46533513,0.56425977,0.6821548
设备69,DLinear,12,0.15053508,0.05074708,0.3879885
设备69,DLinear,24,0.14943437,0.088667415,0.3865674
设备69,Informer,3,0.1475557,0.028862167,0.3841298
设备69,Informer,6,0.14799075,0.026630644,0.38469565
设备69,Informer,12,0.1560578,0.04280658,0.39504153
设备69,Informer,24,0.14684266,0.055575516,0.38320056
设备69,PatchTST,3,0.14077799,0.010227654,0.37520394
设备69,PatchTST,6,0.16101624,0.015056012,0.4012683
设备69,PatchTST,12,0.16558856,0.018760128,0.40692574
设备69,PatchTST,24,0.15472162,0.017901195,0.3933467
设备69,TimesNet,3,0.17004031,0.016008351,0.41235945
设备69,TimesNet,6,0.15557092,0.01680028,0.3944248
设备69,TimesNet,12,0.15060155,0.015961831,0.38807416
设备69,TimesNet,24,0.14242505,0.012906197,0.37739244
设备69,iTransformer,3,0.1420389,0.01259659,0.37688047
设备69,iTransformer,6,0.14020747,0.009846799,0.37444288
设备69,iTransformer,12,0.1404058,0.010046651,0.37470764
设备69,iTransformer,24,0.14019227,0.009239041,0.37442258
设备27,DLinear,3,1.6534079,0.74097353,1.2858491
设备27,DLinear,6,1.3679174,0.6180682,1.16958
设备27,DLinear,12,0.9925658,0.10942959,0.99627596
设备27,DLinear,24,0.9597424,0.13330075,0.97966444
设备27,Informer,3,0.9450327,0.11177431,0.9721279
设备27,Informer,6,0.94894147,0.118608825,0.9741363
设备27,Informer,12,0.9407563,0.06987759,0.96992594
设备27,Informer,24,0.95351094,0.2017976,0.9764789
设备27,PatchTST,3,0.98333097,0.057532176,0.99163043
设备27,PatchTST,6,0.9441325,0.051528715,0.9716648
设备27,PatchTST,12,0.9689665,0.0643793,0.98436093
设备27,PatchTST,24,1.0136317,0.095077425,1.0067928
设备27,TimesNet,3,0.9596686,0.05641367,0.9796268
设备27,TimesNet,6,0.989997,0.066192,0.99498594
设备27,TimesNet,12,1.0016968,0.07491837,1.000848
设备27,TimesNet,24,0.9502896,0.064143635,0.974828
设备27,iTransformer,3,0.0019751366,0.0041668573,0.04444251
设备27,iTransformer,6,0.001968425,0.0033769135,0.044366937
设备27,iTransformer,12,0.0019672974,0.0030388706,0.044354226
设备27,iTransformer,24,0.0019690788,0.0030487438,0.044374302
