Device,Seq_Len,iTransformer_MSE,iTransformer_MAE,PatchTST_MSE,PatchTST_MAE,Informer_MSE,Informer_MAE,Naive_Ensemble_MSE,Naive_Ensemble_MAE,Stacking_MSE,Stacking_MAE,SAFE_MSE,SAFE(Ours)_MAE
设备27,3,0.0019751366,0.0041668573,0.98333097,0.057532176,0.9450327,0.11177431,0.94274616,0.08249289,0.9525137694054508,0.0892685129048744,0.002056588884443,0.0029294036794453
设备27,6,0.001968425,0.0033769135,0.9441325,0.051528715,0.94894147,0.118608825,0.9388345,0.07063163,0.952891694232578,0.0887915371123788,0.0019915546290576,0.002747319638729
设备27,12,0.0019672974,0.0030388706,0.9689665,0.0643793,0.9407563,0.06987759,0.9415928,0.05915558,0.9533513622964171,0.0891562211796708,0.0020358432084321,0.0032047173008322
设备27,24,0.0019690788,0.0030487438,1.0136317,0.095077425,0.95351094,0.2017976,0.9468872,0.12813833,0.9547422135715292,0.0892590850509072,0.0021721844095736,0.0041435570456087
设备58,3,5.570786e-06,0.002360251,1.5239668e-06,0.0012344905,0.001211528,0.029191466,0.00015135866,0.010239752,0.0007764065993112,0.0278368160769785,2.3583623942613485e-07,0.0004856297164224
设备58,6,2.0295272e-06,0.0014246147,2.8434283e-07,0.00053323805,0.024609685,0.1489911,0.0026700126,0.04901108,0.0007796793802512,0.0278765712620952,1.2656341823458206e-06,0.0011250041425228
设备58,12,9.356793e-07,0.0009673052,9.4377846e-08,0.0003072098,0.0017809033,0.03566139,0.00020164832,0.011997419,0.0008038941118978,0.0283160101644409,1.9459912792285653e-08,0.0001394988066749
设备58,24,4.2815003e-07,0.0006543077,3.095479e-07,0.0005563702,0.0003097574,0.014079298,3.196335e-05,0.004507678,0.0007847784691539,0.0280071591453678,3.701038906456233e-07,0.000608361675404
设备69,3,0.1420389,0.01259659,0.14077799,0.010227654,0.1475557,0.028862167,0.1410049,0.015103484,0.1792859730555011,0.0443545313224402,0.0004942130181007,0.0015881061553955
设备69,6,0.14020747,0.009846799,0.16101624,0.015056012,0.14799075,0.026630644,0.14393106,0.016838804,0.1793799449963038,0.0445038061514656,0.0005648913793265,0.0011379432398825
设备69,12,0.1404058,0.010046651,0.16558856,0.018760128,0.1560578,0.04280658,0.14454006,0.022290424,0.1794689056944619,0.0445337629423577,0.0005814007599838,0.0012531819520518
设备69,24,0.14019227,0.009239041,0.15472162,0.017901195,0.14684266,0.055575516,0.14259031,0.026656477,0.1797330605712007,0.0445767009384898,0.0005339597119018,0.0011069041211158
设备83,3,2.7546449,0.39114028,2.756326,0.39650172,2.6924236,0.5721167,2.6915436,0.44784626,1.8123445357639487,0.4171222466936127,2.377277612686157,0.5666019320487976
设备83,6,2.8495169,0.4183465,2.6941085,0.42335474,2.6633325,0.529815,2.6833315,0.4534424,1.8152014547784232,0.4207436289328312,2.374434232711792,0.489767462015152
设备83,12,2.868791,0.458958,2.8855858,0.576166,2.6783178,0.5230806,2.7283123,0.51655394,1.818480118059687,0.4222981982745257,2.383984327316284,0.5168270468711853
设备83,24,2.668829,0.455774,2.6684332,0.48853862,2.6819382,0.4693252,2.6386793,0.46258515,1.853086344231845,0.4256321637380678,2.3505780696868896,0.4570508301258087
