Device,Seq_Len,Model,MSE,MAE
设备27,3,Naive_Average,0.90868306132,0.19417210865999998
设备27,6,Naive_Average,0.850591359,0.1715549307
设备27,12,Naive_Average,0.78119053948,0.06432874412
设备27,24,Naive_Average,0.77582874376,0.09947363076
设备58,3,Naive_Average,0.08662800271616,0.13855051850000003
设备58,6,Naive_Average,0.066329647048706,0.14144723808999998
设备58,12,Naive_Average,0.0006494315603292,0.015347390839999999
设备58,24,Naive_Average,0.001296948467052,0.01887470216
设备69,3,Naive_Average,0.24355337999999999,0.1482022844
设备69,6,Naive_Average,0.214024102,0.126518701
设备69,12,Naive_Average,0.15263775799999998,0.027664453999999998
设备69,24,Naive_Average,0.146723194,0.036857872800000004
设备83,3,Naive_Average,2.938719825,0.61309755
设备83,6,Naive_Average,2.8462728999999998,0.526312196
设备83,12,Naive_Average,2.79862588,0.508465768
设备83,24,Naive_Average,2.68172328,0.481524896
设备69,3,Stacking,0.1792859730555011,0.0443545313224402
设备69,6,Stacking,0.1793799449963038,0.0445038061514656
设备69,12,Stacking,0.1794689056944619,0.0445337629423577
设备69,24,Stacking,0.1797330605712007,0.0445767009384898
设备58,3,Stacking,0.0007764065993112,0.0278368160769785
设备58,6,Stacking,0.0007796793802512,0.0278765712620952
设备58,12,Stacking,0.0008038941118978,0.0283160101644409
设备58,24,Stacking,0.0007847784691539,0.0280071591453678
设备27,3,Stacking,0.9525137694054508,0.0892685129048744
设备27,6,Stacking,0.952891694232578,0.0887915371123788
设备27,12,Stacking,0.9533513622964171,0.0891562211796708
设备27,24,Stacking,0.9547422135715292,0.0892590850509072
设备83,3,Stacking,1.8123445357639487,0.4171222466936127
设备83,6,Stacking,1.8152014547784232,0.4207436289328312
设备83,12,Stacking,1.818480118059687,0.4222981982745257
设备83,24,Stacking,1.853086344231845,0.4256321637380678
设备27,3,SAFE (Ours),0.002056588884443,0.0029294036794453
设备27,6,SAFE (Ours),0.0019915546290576,0.002747319638729
设备27,12,SAFE (Ours),0.0020358432084321,0.0032047173008322
设备27,24,SAFE (Ours),0.0021721844095736,0.0041435570456087
设备58,3,SAFE (Ours),2.3583623942613485e-07,0.0004856297164224
设备58,6,SAFE (Ours),1.2656341823458206e-06,0.0011250041425228
设备58,12,SAFE (Ours),1.9459912792285653e-08,0.0001394988066749
设备58,24,SAFE (Ours),3.701038906456233e-07,0.000608361675404
设备69,3,SAFE (Ours),0.0004942130181007,0.0015881061553955
设备69,6,SAFE (Ours),0.0005648913793265,0.0011379432398825
设备69,12,SAFE (Ours),0.0005814007599838,0.0012531819520518
设备69,24,SAFE (Ours),0.0005339597119018,0.0011069041211158
设备83,3,SAFE (Ours),2.377277612686157,0.5666019320487976
设备83,6,SAFE (Ours),2.374434232711792,0.489767462015152
设备83,12,SAFE (Ours),2.383984327316284,0.5168270468711853
设备83,24,SAFE (Ours),2.3505780696868896,0.4570508301258087
