Device,Seq_Len,Model,MSE,MAE
设备27,3,Naive_Ensemble,0.94274616,0.08249289
设备27,6,Naive_Ensemble,0.9388345,0.07063163
设备27,12,Naive_Ensemble,0.9415928,0.05915558
设备27,24,Naive_Ensemble,0.9468872,0.12813833
设备58,3,Naive_Ensemble,0.00015135866,0.010239752
设备58,6,Naive_Ensemble,0.0026700126,0.04901108
设备58,12,Naive_Ensemble,0.00020164832,0.011997419
设备58,24,Naive_Ensemble,3.196335e-05,0.004507678
设备69,3,Naive_Ensemble,0.1410049,0.015103484
设备69,6,Naive_Ensemble,0.14393106,0.016838804
设备69,12,Naive_Ensemble,0.14454006,0.022290424
设备69,24,Naive_Ensemble,0.14259031,0.026656477
设备83,3,Naive_Ensemble,2.6915436,0.44784626
设备83,6,Naive_Ensemble,2.6833315,0.4534424
设备83,12,Naive_Ensemble,2.7283123,0.51655394
设备83,24,Naive_Ensemble,2.6386793,0.46258515
