Device,Model,Seq_Len,MSE,MAE
设备69,Stacking,3,0.1792859730555011,0.04435453132244022
设备69,Stacking,6,0.17937994499630383,0.04450380615146563
设备69,Stacking,12,0.17946890569446197,0.044533762942357724
设备69,Stacking,24,0.17973306057120078,0.04457670093848984
设备58,Stacking,3,0.0007764065993112133,0.02783681607697853
设备58,Stacking,6,0.0007796793802512191,0.027876571262095206
设备58,Stacking,12,0.0008038941118978975,0.028316010164440995
设备58,Stacking,24,0.0007847784691539099,0.028007159145367812
设备27,Stacking,3,0.9525137694054507,0.08926851290487443
设备27,Stacking,6,0.9528916942325781,0.0887915371123788
设备27,Stacking,12,0.9533513622964171,0.08915622117967087
设备27,Stacking,24,0.9547422135715292,0.08925908505090724
设备83,Stacking,3,1.8123445357639487,0.4171222466936127
设备83,Stacking,6,1.8152014547784232,0.4207436289328312
设备83,Stacking,12,1.818480118059687,0.4222981982745257
设备83,Stacking,24,1.853086344231845,0.42563216373806784
