Device,Model,Seq_Len,MSE,MAE
设备27,Informer,3,0.9450327,0.11177431
设备27,PatchTST,3,0.98333097,0.057532176
设备27,SAFE,3,0.0019969211,0.0023800605
设备27,Stacking,3,0.9525137694054508,0.0892685129048744
设备27,iTransformer,3,0.0019751366,0.0041668573
设备27,Informer,6,0.94894147,0.118608825
设备27,PatchTST,6,0.9441325,0.051528715
设备27,SAFE,6,0.002115044,0.0032226348
设备27,Stacking,6,0.952891694232578,0.0887915371123788
设备27,iTransformer,6,0.001968425,0.0033769135
设备27,Informer,12,0.9407563,0.06987759
设备27,PatchTST,12,0.9689665,0.0643793
设备27,SAFE,12,0.0020403615,0.0031803814
设备27,Stacking,12,0.9533513622964171,0.0891562211796708
设备27,iTransformer,12,0.0019672974,0.0030388706
设备27,Informer,24,0.95351094,0.2017976
设备27,PatchTST,24,1.0136317,0.095077425
设备27,SAFE,24,0.0020305652,0.0031681873
设备27,Stacking,24,0.9547422135715292,0.0892590850509072
设备27,iTransformer,24,0.0019690788,0.0030487438
设备58,Informer,3,0.001211528,0.029191466
设备58,PatchTST,3,1.5239668e-06,0.0012344905
设备58,SAFE,3,3.8358415e-08,0.00019585303
设备58,Stacking,3,0.0007764065993112,0.0278368160769785
设备58,iTransformer,3,5.570786e-06,0.002360251
设备58,Informer,6,0.024609685,0.1489911
设备58,PatchTST,6,2.8434283e-07,0.00053323805
设备58,SAFE,6,3.552657e-07,0.0005960418
设备58,Stacking,6,0.0007796793802512,0.0278765712620952
设备58,iTransformer,6,2.0295272e-06,0.0014246147
设备58,Informer,12,0.0017809033,0.03566139
设备58,PatchTST,12,9.4377846e-08,0.0003072098
设备58,SAFE,12,7.652429e-08,0.00027663028
设备58,Stacking,12,0.0008038941118978,0.0283160101644409
设备58,iTransformer,12,9.356793e-07,0.0009673052
设备58,Informer,24,0.0003097574,0.014079298
设备58,PatchTST,24,3.095479e-07,0.0005563702
设备58,SAFE,24,1.2598632e-08,0.00011224361
设备58,Stacking,24,0.0007847784691539,0.0280071591453678
设备58,iTransformer,24,4.2815003e-07,0.0006543077
设备69,Informer,3,0.1475557,0.028862167
设备69,PatchTST,3,0.14077799,0.010227654
设备69,SAFE,3,0.000494213,0.0015881062
设备69,Stacking,3,0.1792859730555011,0.0443545313224402
设备69,iTransformer,3,0.1420389,0.01259659
设备69,Informer,6,0.14799075,0.026630644
设备69,PatchTST,6,0.16101624,0.015056012
设备69,SAFE-Basic,6,0.0006216938,0.0010175442
设备69,SAFE-Rich,6,0.0005648914,0.0011379432
设备69,SAFE-Rich,6,0.0005986322,0.0010437559
设备69,Stacking,6,0.1793799449963038,0.0445038061514656
设备69,iTransformer,6,0.14020747,0.009846799
设备69,Informer,12,0.1560578,0.04280658
设备69,PatchTST,12,0.16558856,0.018760128
设备69,SAFE-Basic,12,0.0005854122,0.0010572308
设备69,SAFE-Rich,12,0.00058140076,0.001253182
设备69,SAFE-Rich,12,0.0005178073,0.0014475763
设备69,Stacking,12,0.1794689056944619,0.0445337629423577
设备69,iTransformer,12,0.1404058,0.010046651
设备69,Informer,24,0.14684266,0.055575516
设备69,PatchTST,24,0.15472162,0.017901195
设备69,SAFE-Basic,24,0.0005254117,0.0011569486
设备69,SAFE-Rich,24,0.0005339597,0.0011069041
设备69,SAFE-Rich,24,0.0005324021,0.00106229
设备69,Stacking,24,0.1797330605712007,0.0445767009384898
设备69,iTransformer,24,0.14019227,0.009239041
设备83,Informer,3,2.6924236,0.5721167
设备83,PatchTST,3,2.756326,0.39650172
设备83,SAFE-Basic,3,2.3743339,0.5591034
设备83,SAFE-Rich,3,2.3772776,0.56660193
设备83,SAFE-Rich,3,2.5249283,0.5477521
设备83,Stacking,3,1.8123445357639487,0.4171222466936127
设备83,iTransformer,3,2.7546449,0.39114028
设备83,Informer,6,2.6633325,0.529815
设备83,PatchTST,6,2.6941085,0.42335474
设备83,SAFE-Basic,6,2.3703818,0.47714806
设备83,SAFE-Rich,6,2.3744342,0.48976746
设备83,SAFE-Rich,6,2.538219,0.54904264
设备83,Stacking,6,1.8152014547784232,0.4207436289328312
设备83,iTransformer,6,2.8495169,0.4183465
设备83,Informer,12,2.6783178,0.5230806
设备83,PatchTST,12,2.8855858,0.576166
设备83,SAFE-Basic,12,2.3733041,0.52135396
设备83,SAFE-Rich,12,2.3839843,0.51682705
设备83,SAFE-Rich,12,2.5340602,0.5272411
设备83,Stacking,12,1.818480118059687,0.4222981982745257
设备83,iTransformer,12,2.868791,0.458958
设备83,Informer,24,2.6819382,0.4693252
设备83,PatchTST,24,2.6684332,0.48853862
设备83,SAFE-Basic,24,2.3789837,0.45020106
设备83,SAFE-Rich,24,2.350578,0.45705083
设备83,SAFE-Rich,24,2.5500891,0.50387
设备83,Stacking,24,1.853086344231845,0.4256321637380678
设备83,iTransformer,24,2.668829,0.455774
