Device,Seq_Len,MSE,MAE,Model
设备28,3,0.0021472646194207736,0.003854666784654852,XGBoost
设备28,6,0.0022136492257544137,0.003940536583974665,XGBoost
设备28,12,0.003790305594792464,0.005993659404239354,XGBoost
设备28,24,0.0023121306682483004,0.004058387200199415,XGBoost
设备26,3,0.0015425373273323072,0.003365096536470465,XGBoost
设备26,6,0.0015803668551285885,0.0034858191665204916,XGBoost
设备26,12,0.0015676733895568268,0.0031747577220129324,XGBoost
设备26,24,0.001545893235556947,0.002869690803413907,XGBoost
设备61,3,0.0009754840936024756,0.0013048678505020413,XGBoost
设备61,6,0.0009430757289369339,0.0012927937864208384,XGBoost
设备61,12,0.000972737553083806,0.0013167327209391785,XGBoost
设备61,24,0.0014253026415460088,0.0018025297881944576,XGBoost
设备27,3,0.002013979221459238,0.003543664810226273,XGBoost
设备27,6,0.0020137334469131304,0.0035292175183570303,XGBoost
设备27,12,0.0028699782864110047,0.00430367346308338,XGBoost
设备27,24,0.0037727204982767664,0.005187277312123826,XGBoost
设备86,3,0.0009826033828891354,0.0021553653943051695,XGBoost
设备86,6,0.000999446612772569,0.002294974639731021,XGBoost
设备86,12,0.001119941027579904,0.0030707050449556984,XGBoost
设备86,24,0.00102025784439342,0.0019659641574933753,XGBoost
设备60,3,0.000544108277122641,0.0011005477653177513,XGBoost
设备60,6,0.0005443355077132344,0.001107836677878296,XGBoost
设备60,12,0.0005447219045490048,0.0011163150264394879,XGBoost
设备60,24,0.0005453781669223808,0.0011240257066217102,XGBoost
设备85,3,0.001000050827326165,0.00243028219715573,XGBoost
设备85,6,0.0018241714029805782,0.0033044514059107385,XGBoost
设备85,12,0.0010070003151606132,0.0023415313890092384,XGBoost
设备85,24,0.001005043399571655,0.0019144682125151816,XGBoost
设备52,3,0.04159944194317143,0.06273997881135364,XGBoost
设备52,6,0.0412878925363133,0.06191447722616003,XGBoost
设备52,12,0.05035799810800254,0.06435030016750316,XGBoost
设备52,24,0.048686490336475416,0.058677927970571524,XGBoost
设备76,3,0.019288244714227232,0.03848314018521252,XGBoost
设备76,6,0.019106397723491236,0.03779019869535285,XGBoost
设备76,12,0.01923988338573339,0.037296769435756376,XGBoost
设备76,24,0.01955434018299272,0.037072739743193965,XGBoost
设备53,3,0.014412310763147057,0.03680477174896051,XGBoost
设备53,6,0.014362504875652864,0.03633141515539119,XGBoost
设备53,12,0.01442657724989321,0.03514164838210925,XGBoost
设备53,24,0.014449853095183844,0.033815551824110224,XGBoost
设备75,3,0.07010197403609454,0.0658479895961089,XGBoost
设备75,6,0.0832474853816126,0.0671239104651499,XGBoost
设备75,12,0.08299029774786508,0.06777728239349316,XGBoost
设备75,24,0.08010748241217983,0.06668733584754945,XGBoost
设备70,3,0.0004906452074712047,0.001296751910396466,XGBoost
设备70,6,0.0004910703357132428,0.001061575255566733,XGBoost
设备70,12,0.0005196372164605179,0.0011956182934191716,XGBoost
设备70,24,0.0006209593681103007,0.001167600206190936,XGBoost
设备73,3,0.024546361913075267,0.03420163371948373,XGBoost
