device,seq_len,split,rows,target_start,target_end,windows,gap_rejected,positive,negative
设备0,3,train,4998,0,3498,3487,8,144,3343
设备0,3,val,4998,3498,3999,501,0,46,455
设备0,3,test,4998,3999,4998,993,6,33,960
设备0,6,train,4998,0,3498,3478,14,144,3334
设备0,6,val,4998,3498,3999,501,0,46,455
设备0,6,test,4998,3999,4998,987,12,33,954
设备0,12,train,4998,0,3498,3460,26,144,3316
设备0,12,val,4998,3498,3999,501,0,46,455
设备0,12,test,4998,3999,4998,975,24,31,944
设备0,24,train,4998,0,3498,3424,50,144,3280
设备0,24,val,4998,3498,3999,501,0,46,455
设备0,24,test,4998,3999,4998,951,48,31,920
设备10,3,train,3367,0,2356,2346,7,176,2170
设备10,3,val,3367,2356,2694,335,3,18,317
设备10,3,test,3367,2694,3367,667,6,3,664
设备10,6,train,3367,0,2356,2337,13,176,2161
设备10,6,val,3367,2356,2694,332,6,18,314
设备10,6,test,3367,2694,3367,661,12,3,658
设备10,12,train,3367,0,2356,2319,25,176,2143
设备10,12,val,3367,2356,2694,326,12,18,308
设备10,12,test,3367,2694,3367,649,24,3,646
设备10,24,train,3367,0,2356,2283,49,176,2107
设备10,24,val,3367,2356,2694,314,24,18,296
设备10,24,test,3367,2694,3367,625,48,3,622
设备11,3,train,3288,0,2301,2291,7,149,2142
设备11,3,val,3288,2301,2631,327,3,18,309
设备11,3,test,3288,2631,3288,651,6,3,648
设备11,6,train,3288,0,2301,2282,13,149,2133
设备11,6,val,3288,2301,2631,324,6,18,306
设备11,6,test,3288,2631,3288,645,12,3,642
设备11,12,train,3288,0,2301,2264,25,149,2115
设备11,12,val,3288,2301,2631,318,12,18,300
设备11,12,test,3288,2631,3288,633,24,3,630
设备11,24,train,3288,0,2301,2228,49,149,2079
设备11,24,val,3288,2301,2631,306,24,18,288
设备11,24,test,3288,2631,3288,609,48,3,606
设备12,3,train,9291,0,6503,6497,3,2056,4441
设备12,3,val,9291,6503,7433,930,0,257,673
设备12,3,test,9291,7433,9291,1858,0,423,1435
设备12,6,train,9291,0,6503,6491,6,2055,4436
设备12,6,val,9291,6503,7433,930,0,257,673
设备12,6,test,9291,7433,9291,1858,0,423,1435
设备12,12,train,9291,0,6503,6479,12,2051,4428
设备12,12,val,9291,6503,7433,930,0,257,673
设备12,12,test,9291,7433,9291,1858,0,423,1435
设备12,24,train,9291,0,6503,6455,24,2046,4409
设备12,24,val,9291,6503,7433,930,0,257,673
设备12,24,test,9291,7433,9291,1858,0,423,1435
设备13,3,train,4816,0,3371,3362,6,75,3287
设备13,3,val,4816,3371,3853,479,3,4,475
设备13,3,test,4816,3853,4816,951,12,7,944
设备13,6,train,4816,0,3371,3353,12,74,3279
设备13,6,val,4816,3371,3853,476,6,4,472
设备13,6,test,4816,3853,4816,940,23,5,935
设备13,12,train,4816,0,3371,3335,24,72,3263
设备13,12,val,4816,3371,3853,470,12,3,467
设备13,12,test,4816,3853,4816,922,41,5,917
设备13,24,train,4816,0,3371,3299,48,70,3229
设备13,24,val,4816,3371,3853,458,24,3,455
设备13,24,test,4816,3853,4816,886,77,5,881
设备14,3,train,5707,0,3994,3982,9,214,3768
设备14,3,val,5707,3994,4566,572,0,10,562
设备14,3,test,5707,4566,5707,1141,0,23,1118
设备14,6,train,5707,0,3994,3970,18,213,3757
设备14,6,val,5707,3994,4566,572,0,10,562
设备14,6,test,5707,4566,5707,1141,0,23,1118
设备14,12,train,5707,0,3994,3946,36,212,3734
设备14,12,val,5707,3994,4566,572,0,10,562
设备14,12,test,5707,4566,5707,1141,0,23,1118
设备14,24,train,5707,0,3994,3898,72,209,3689
设备14,24,val,5707,3994,4566,572,0,10,562
设备14,24,test,5707,4566,5707,1141,0,23,1118
设备15,3,train,2388,0,1671,1668,0,18,1650
设备15,3,val,2388,1671,1911,240,0,4,236
设备15,3,test,2388,1911,2388,474,3,10,464
设备15,6,train,2388,0,1671,1665,0,18,1647
设备15,6,val,2388,1671,1911,240,0,4,236
设备15,6,test,2388,1911,2388,471,6,9,462
设备15,12,train,2388,0,1671,1659,0,18,1641
设备15,12,val,2388,1671,1911,240,0,4,236
设备15,12,test,2388,1911,2388,465,12,9,456
设备15,24,train,2388,0,1671,1647,0,18,1629
设备15,24,val,2388,1671,1911,240,0,4,236
设备15,24,test,2388,1911,2388,453,24,9,444
设备16,3,train,3129,0,2190,2169,18,27,2142
设备16,3,val,3129,2190,2504,314,0,5,309
设备16,3,test,3129,2504,3129,622,3,19,603
设备16,6,train,3129,0,2190,2148,36,27,2121
设备16,6,val,3129,2190,2504,314,0,5,309
设备16,6,test,3129,2504,3129,619,6,19,600
设备16,12,train,3129,0,2190,2106,72,27,2079
设备16,12,val,3129,2190,2504,314,0,5,309
设备16,12,test,3129,2504,3129,613,12,19,594
设备16,24,train,3129,0,2190,2022,144,27,1995
设备16,24,val,3129,2190,2504,314,0,5,309
设备16,24,test,3129,2504,3129,601,24,19,582
设备17,3,train,7756,0,5429,5417,9,184,5233
设备17,3,val,7756,5429,6205,776,0,36,740
设备17,3,test,7756,6205,7756,1548,3,42,1506
设备17,6,train,7756,0,5429,5405,18,184,5221
设备17,6,val,7756,5429,6205,776,0,36,740
设备17,6,test,7756,6205,7756,1545,6,42,1503
设备17,12,train,7756,0,5429,5381,36,184,5197
设备17,12,val,7756,5429,6205,776,0,36,740
设备17,12,test,7756,6205,7756,1539,12,42,1497
设备17,24,train,7756,0,5429,5333,72,183,5150
设备17,24,val,7756,5429,6205,776,0,36,740
设备17,24,test,7756,6205,7756,1527,24,42,1485
设备18,3,train,4893,0,3425,3407,15,26,3381
设备18,3,val,4893,3425,3915,490,0,49,441
设备18,3,test,4893,3915,4893,972,6,244,728
设备18,6,train,4893,0,3425,3392,27,26,3366
设备18,6,val,4893,3425,3915,490,0,49,441
设备18,6,test,4893,3915,4893,966,12,238,728
设备18,12,train,4893,0,3425,3362,51,26,3336
设备18,12,val,4893,3425,3915,490,0,49,441
设备18,12,test,4893,3915,4893,954,24,230,724
设备18,24,train,4893,0,3425,3302,99,24,3278
设备18,24,val,4893,3425,3915,490,0,49,441
设备18,24,test,4893,3915,4893,930,48,216,714
设备19,3,train,6453,0,4517,4507,7,118,4389
设备19,3,val,6453,4517,5163,646,0,26,620
设备19,3,test,6453,5163,6453,1286,4,21,1265
设备19,6,train,6453,0,4517,4498,13,118,4380
设备19,6,val,6453,4517,5163,646,0,26,620
设备19,6,test,6453,5163,6453,1283,7,21,1262
设备19,12,train,6453,0,4517,4480,25,117,4363
设备19,12,val,6453,4517,5163,646,0,26,620
设备19,12,test,6453,5163,6453,1277,13,21,1256
设备19,24,train,6453,0,4517,4444,49,113,4331
设备19,24,val,6453,4517,5163,646,0,26,620
设备19,24,test,6453,5163,6453,1265,25,21,1244
设备1,3,train,4717,0,3301,3282,16,121,3161
设备1,3,val,4717,3301,3774,473,0,18,455
设备1,3,test,4717,3774,4717,936,7,12,924
设备1,6,train,4717,0,3301,3266,29,119,3147
设备1,6,val,4717,3301,3774,473,0,18,455
设备1,6,test,4717,3774,4717,930,13,12,918
设备1,12,train,4717,0,3301,3236,53,118,3118
设备1,12,val,4717,3301,3774,473,0,18,455
设备1,12,test,4717,3774,4717,918,25,12,906
设备1,24,train,4717,0,3301,3176,101,118,3058
设备1,24,val,4717,3301,3774,473,0,18,455
设备1,24,test,4717,3774,4717,894,49,12,882
设备20,3,train,3421,0,2394,2372,19,25,2347
设备20,3,val,3421,2394,2737,343,0,3,340
设备20,3,test,3421,2737,3421,681,3,8,673
设备20,6,train,3421,0,2394,2353,35,24,2329
设备20,6,val,3421,2394,2737,343,0,3,340
设备20,6,test,3421,2737,3421,678,6,8,670
设备20,12,train,3421,0,2394,2318,64,23,2295
设备20,12,val,3421,2394,2737,343,0,3,340
设备20,12,test,3421,2737,3421,672,12,8,664
设备20,24,train,3421,0,2394,2258,112,20,2238
设备20,24,val,3421,2394,2737,343,0,3,340
设备20,24,test,3421,2737,3421,660,24,8,652
设备21,3,train,4236,0,2965,2946,16,35,2911
设备21,3,val,4236,2965,3389,424,0,2,422
设备21,3,test,4236,3389,4236,841,6,6,835
设备21,6,train,4236,0,2965,2928,31,35,2893
设备21,6,val,4236,2965,3389,424,0,2,422
设备21,6,test,4236,3389,4236,835,12,6,829
设备21,12,train,4236,0,2965,2892,61,34,2858
设备21,12,val,4236,2965,3389,424,0,2,422
设备21,12,test,4236,3389,4236,823,24,6,817
设备21,24,train,4236,0,2965,2820,121,34,2786
设备21,24,val,4236,2965,3389,424,0,2,422
设备21,24,test,4236,3389,4236,799,48,6,793
设备22,3,train,2287,0,1600,1576,21,15,1561
设备22,3,val,2287,1600,1830,227,3,4,223
设备22,3,test,2287,1830,2287,457,0,2,455
设备22,6,train,2287,0,1600,1556,38,14,1542
设备22,6,val,2287,1600,1830,224,6,4,220
设备22,6,test,2287,1830,2287,457,0,2,455
设备22,12,train,2287,0,1600,1520,68,13,1507
设备22,12,val,2287,1600,1830,218,12,4,214
设备22,12,test,2287,1830,2287,457,0,2,455
设备22,24,train,2287,0,1600,1448,128,13,1435
设备22,24,val,2287,1600,1830,206,24,4,202
设备22,24,test,2287,1830,2287,457,0,2,455
设备23,3,train,6237,0,4365,4353,9,76,4277
设备23,3,val,6237,4365,4990,625,0,26,599
设备23,3,test,6237,4990,6237,1241,6,47,1194
设备23,6,train,6237,0,4365,4341,18,76,4265
设备23,6,val,6237,4365,4990,625,0,26,599
设备23,6,test,6237,4990,6237,1235,12,47,1188
设备23,12,train,6237,0,4365,4317,36,76,4241
设备23,12,val,6237,4365,4990,625,0,26,599
设备23,12,test,6237,4990,6237,1223,24,47,1176
设备23,24,train,6237,0,4365,4269,72,75,4194
设备23,24,val,6237,4365,4990,625,0,26,599
设备23,24,test,6237,4990,6237,1199,48,47,1152
设备24,3,train,8774,0,6141,6135,3,221,5914
设备24,3,val,8774,6141,7020,879,0,48,831
设备24,3,test,8774,7020,8774,1751,3,30,1721
设备24,6,train,8774,0,6141,6129,6,220,5909
设备24,6,val,8774,6141,7020,879,0,48,831
设备24,6,test,8774,7020,8774,1748,6,30,1718
设备24,12,train,8774,0,6141,6117,12,220,5897
设备24,12,val,8774,6141,7020,879,0,48,831
设备24,12,test,8774,7020,8774,1742,12,29,1713
设备24,24,train,8774,0,6141,6093,24,219,5874
设备24,24,val,8774,6141,7020,879,0,48,831
设备24,24,test,8774,7020,8774,1730,24,29,1701
设备25,3,train,5381,0,3766,3757,6,44,3713
设备25,3,val,5381,3766,4305,536,3,8,528
设备25,3,test,5381,4305,5381,1064,12,5,1059
设备25,6,train,5381,0,3766,3748,12,44,3704
设备25,6,val,5381,3766,4305,533,6,8,525
设备25,6,test,5381,4305,5381,1052,24,5,1047
设备25,12,train,5381,0,3766,3730,24,44,3686
设备25,12,val,5381,3766,4305,527,12,8,519
设备25,12,test,5381,4305,5381,1028,48,5,1023
设备25,24,train,5381,0,3766,3694,48,43,3651
设备25,24,val,5381,3766,4305,515,24,8,507
设备25,24,test,5381,4305,5381,980,96,5,975
设备26,3,train,4001,0,2800,2783,14,287,2496
设备26,3,val,4001,2800,3201,401,0,31,370
设备26,3,test,4001,3201,4001,797,3,17,780
设备26,6,train,4001,0,2800,2768,26,287,2481
设备26,6,val,4001,2800,3201,401,0,31,370
设备26,6,test,4001,3201,4001,794,6,17,777
设备26,12,train,4001,0,2800,2738,50,287,2451
设备26,12,val,4001,2800,3201,401,0,31,370
设备26,12,test,4001,3201,4001,788,12,17,771
设备26,24,train,4001,0,2800,2678,98,287,2391
设备26,24,val,4001,2800,3201,401,0,31,370
设备26,24,test,4001,3201,4001,776,24,15,761
设备27,3,train,8452,0,5916,5907,6,1742,4165
设备27,3,val,8452,5916,6762,846,0,657,189
设备27,3,test,8452,6762,8452,1687,3,839,848
设备27,6,train,8452,0,5916,5898,12,1741,4157
设备27,6,val,8452,5916,6762,846,0,657,189
设备27,6,test,8452,6762,8452,1684,6,839,845
设备27,12,train,8452,0,5916,5880,24,1740,4140
设备27,12,val,8452,5916,6762,846,0,657,189
设备27,12,test,8452,6762,8452,1678,12,839,839
设备27,24,train,8452,0,5916,5844,48,1738,4106
设备27,24,val,8452,5916,6762,846,0,657,189
设备27,24,test,8452,6762,8452,1666,24,839,827
设备28,3,train,8812,0,6168,6159,6,1068,5091
设备28,3,val,8812,6168,7050,882,0,17,865
设备28,3,test,8812,7050,8812,1762,0,577,1185
设备28,6,train,8812,0,6168,6150,12,1065,5085
设备28,6,val,8812,6168,7050,882,0,17,865
设备28,6,test,8812,7050,8812,1762,0,577,1185
设备28,12,train,8812,0,6168,6132,24,1059,5073
设备28,12,val,8812,6168,7050,882,0,17,865
设备28,12,test,8812,7050,8812,1762,0,577,1185
设备28,24,train,8812,0,6168,6096,48,1047,5049
设备28,24,val,8812,6168,7050,882,0,17,865
设备28,24,test,8812,7050,8812,1762,0,577,1185
设备29,3,train,4237,0,2965,2941,21,72,2869
设备29,3,val,4237,2965,3390,422,3,4,418
设备29,3,test,4237,3390,4237,844,3,9,835
设备29,6,train,4237,0,2965,2920,39,67,2853
设备29,6,val,4237,2965,3390,419,6,4,415
设备29,6,test,4237,3390,4237,841,6,9,832
设备29,12,train,4237,0,2965,2884,69,65,2819
设备29,12,val,4237,2965,3390,413,12,4,409
设备29,12,test,4237,3390,4237,835,12,9,826
设备29,24,train,4237,0,2965,2812,129,65,2747
设备29,24,val,4237,2965,3390,401,24,4,397
设备29,24,test,4237,3390,4237,823,24,9,814
设备2,3,train,8743,0,6120,6114,3,204,5910
设备2,3,val,8743,6120,6995,875,0,35,840
设备2,3,test,8743,6995,8743,1745,3,46,1699
设备2,6,train,8743,0,6120,6108,6,204,5904
设备2,6,val,8743,6120,6995,875,0,35,840
设备2,6,test,8743,6995,8743,1742,6,45,1697
设备2,12,train,8743,0,6120,6096,12,204,5892
设备2,12,val,8743,6120,6995,875,0,35,840
设备2,12,test,8743,6995,8743,1736,12,45,1691
设备2,24,train,8743,0,6120,6072,24,203,5869
