fold,model,seq_len,devices,train_windows,train_positive,train_negative,val_windows,val_positive,val_negative,test_windows,test_positive,test_negative
0,Informer,3,4,18817,9107,9710,2343,379,1964,2342,186,2156
0,Informer,6,4,18774,9103,9671,2328,376,1952,2324,186,2138
0,Informer,12,4,18690,9095,9595,2298,370,1928,2288,186,2102
0,Informer,24,4,18528,9078,9450,2238,356,1882,2216,186,2030
0,iTransformer,3,6,38202,8040,30162,4754,328,4426,4759,212,4547
0,iTransformer,6,6,38148,8029,30119,4727,327,4400,4732,208,4524
0,iTransformer,12,6,38040,8005,30035,4673,324,4349,4678,201,4477
0,iTransformer,24,6,37824,7948,29876,4565,324,4241,4570,189,4381
0,PatchTST,3,77,359273,16812,342461,44721,1866,42855,44763,1353,43410
0,PatchTST,6,77,358371,16777,341594,44421,1858,42563,44466,1344,43122
0,PatchTST,12,77,356590,16715,339875,43826,1848,41978,43878,1340,42538
0,PatchTST,24,77,353076,16606,336470,42649,1809,40840,42716,1328,41388
1,Informer,3,4,18813,8894,9919,2334,396,1938,2343,379,1964
1,Informer,6,4,18759,8891,9868,2315,392,1923,2328,376,1952
1,Informer,12,4,18651,8883,9768,2279,385,1894,2298,370,1928
1,Informer,24,4,18441,8864,9577,2207,372,1835,2238,356,1882
1,iTransformer,3,4,23351,3969,19382,2908,81,2827,2904,145,2759
1,iTransformer,6,4,23294,3961,19333,2890,81,2809,2883,145,2738
1,iTransformer,12,4,23180,3945,19235,2854,80,2774,2841,144,2697
1,iTransformer,24,4,22952,3902,19050,2782,79,2703,2757,144,2613
1,PatchTST,3,79,373916,19256,354660,46573,3094,43479,46571,2049,44522
1,PatchTST,6,79,372772,19205,353567,46263,3083,43180,46265,2040,44225
1,PatchTST,12,79,370517,19106,351411,45645,3066,42579,45658,2028,43630
1,PatchTST,24,79,366043,18947,347096,44447,3017,41430,44457,1989,42468
2,Informer,3,4,18820,8571,10249,2336,698,1638,2334,396,1938
2,Informer,6,4,18772,8563,10209,2315,695,1620,2315,392,1923
2,Informer,12,4,18676,8545,10131,2273,688,1585,2279,385,1894
2,Informer,24,4,18484,8515,9969,2195,672,1523,2207,372,1835
2,iTransformer,3,6,38186,7547,30639,4754,720,4034,4758,311,4447
2,iTransformer,6,6,38114,7533,30581,4727,716,4011,4734,311,4423
2,iTransformer,12,6,37970,7507,30463,4673,707,3966,4686,309,4377
2,iTransformer,24,6,37682,7453,30229,4565,688,3877,4590,305,4285
2,PatchTST,3,77,359089,15022,344067,44714,2126,42588,44723,2864,41859
2,PatchTST,6,77,357966,14980,342986,44411,2114,42297,44419,2853,41566
2,PatchTST,12,77,355734,14916,340818,43824,2080,41744,43813,2837,40976
2,PatchTST,24,77,351282,14815,336467,42674,2020,40654,42639,2791,39848
3,Informer,3,4,18811,7753,11058,2343,1206,1137,2336,698,1638
3,Informer,6,4,18759,7740,11019,2328,1198,1130,2315,695,1620
3,Informer,12,4,18657,7715,10942,2298,1180,1118,2273,688,1585
3,Informer,24,4,18453,7669,10784,2238,1153,1085,2195,672,1523
3,iTransformer,3,6,38170,5605,32565,4749,2117,2632,4750,242,4508
3,iTransformer,6,6,38110,5592,32518,4719,2107,2612,4723,240,4483
3,iTransformer,12,6,37990,5565,32425,4659,2089,2570,4669,235,4434
3,iTransformer,24,6,37750,5517,32233,4539,2047,2492,4561,229,4332
3,PatchTST,3,77,359194,16002,343192,44646,2014,42632,44718,2604,42114
3,PatchTST,6,77,358134,15957,342177,44276,2003,42273,44415,2590,41825
3,PatchTST,12,77,356028,15907,340121,43538,1969,41569,43828,2552,41276
3,PatchTST,24,77,351838,15820,336018,42070,1921,40149,42678,2479,40199
4,Informer,3,5,26227,8696,17531,3273,2188,1085,3266,1458,1808
4,Informer,6,5,26160,8683,17477,3258,2176,1082,3245,1447,1798
4,Informer,12,5,26028,8654,17374,3228,2151,1077,3203,1425,1778
4,Informer,24,5,25770,8597,17173,3168,2104,1064,3119,1393,1726
4,iTransformer,3,9,52846,5528,47318,6593,1764,4829,6583,2467,4116
4,iTransformer,6,9,52717,5513,47204,6563,1752,4811,6544,2457,4087
4,iTransformer,12,9,52459,5485,46974,6503,1728,4775,6466,2439,4027
4,iTransformer,24,9,51943,5431,46512,6383,1679,4704,6310,2396,3914
4,PatchTST,3,73,337088,13219,323869,41952,1505,40447,41889,1412,40477
4,PatchTST,6,73,336115,13181,322934,41645,1497,40148,41534,1404,40130
4,PatchTST,12,73,334196,13147,321049,41033,1485,39548,40826,1374,39452
4,PatchTST,24,73,330380,13076,317304,39823,1462,38361,39418,1332,38086
5,Informer,3,2,14316,2905,11411,1787,332,1455,1786,884,902
5,Informer,6,2,14295,2894,11401,1781,332,1449,1780,878,902
5,Informer,12,2,14253,2873,11380,1769,332,1437,1768,866,902
5,Informer,24,2,14169,2837,11332,1745,329,1416,1744,842,902
5,iTransformer,3,2,11162,1644,9518,1395,50,1345,1393,209,1184
5,iTransformer,6,2,11126,1642,9484,1389,50,1339,1387,206,1181
5,iTransformer,12,2,11054,1636,9418,1377,50,1327,1375,200,1175
5,iTransformer,24,2,10910,1622,9288,1353,50,1303,1351,190,1161
5,PatchTST,3,83,390551,21526,369025,48688,6308,42380,48639,4364,44275
5,PatchTST,6,83,389326,21462,367864,48399,6282,42117,48299,4341,43958
5,PatchTST,12,83,386903,21358,365545,47823,6232,41591,47621,4298,43323
5,PatchTST,24,83,382078,21204,360874,46685,6118,40567,46279,4213,42066
