device,raw_events,empty_columns_removed,derived_removed,flash_removed,duplicate_removed,retained_events,unknown_duration_retained,removed_zero_hours,hourly_rows,source_sha256,output_sha256
设备0,630,2,0,250,69,311,0,5206,4998,91a9e26263dd7504f73a6de98d08223f6a95a745e0bb10be8aa40950fd2f70b3,7b255d845ef1ce9f1de7953f3b7a71d14035faf943b9508b963182528341d74b
设备1,328,2,0,26,44,258,0,5573,4631,e38d65cdf6816e94ad1220f5fd388f5e1393ae41f5bf11f974b415883718e841,1981703ae5b7da392a67eb34b44efbf9e5f653ae409b6eba966c81394b354ed2
设备2,591,2,0,67,41,483,0,1464,8740,a44ec60d6e98a99d3a991df6bb6367e75e70a593f1116cdd3db98c874fed6d3e,2509ae1ea0dea5157808c0313dbee0a70cf42060cc129dffb0caae116e276e99
设备3,114,2,0,0,0,114,0,4153,6051,7716cec5752ecf7e9d00a432406698bce55d5c45432c79d26fb838b59e15d973,b75ebf5fedf3475df47b1bbf7dcadbf5a900a45e39eda57e8120fa5c57e6630a
设备4,207,2,0,59,43,105,0,6580,3624,b76991f23f67f3f4f4d3569fad8b53924855f0f636dcddac76b830ca98f33467,dec54e2d1fa44b2c5ac98b8f117880e48871037ce8e4932e607a79b482f20611
设备5,834,2,0,38,67,729,0,1637,8567,077f666511a2057460400bd2e8771012054e7dff0fe5cd4c9772d5a189e778a5,8f99bdf874a99b25bc17f256ac289aecfba8d6175a26d4a021783dd98f3c5af3
设备6,3151,2,0,6,53,3092,0,2285,7919,e76445f7225555caac40628cc7156e81934cba6d619052e50b8e97b920c77da2,d26609ff71038d093978deaf8c91801ec0200751931ec724b46e9bb64722cdd4
设备7,418,2,0,226,15,177,0,7925,2279,73aef9cf168c2b670cb9cee74d8f861815042fd04b1ddbbe443bc7b647750c6a,1de3c835397fa2cf5e6e6774ba0abc851bd475f2d415a5ae9bad223993cbcd33
设备8,175,2,0,17,27,131,0,8913,1291,544e4e594f26d24ecf79ab4ce43223fe088efbebfcb26d8be4a244dd5e04770c,1e702be9c9ecc1a2a32bda9342b31e3c16479960f283a124f8ad98490df0e818
设备9,126,2,0,4,4,118,0,8913,1291,f11a3570049305df0711c6b5911dfc99d1672edeace187f8aab6e391b2460f98,891ab34c56f9f7397b42c33702c408a799e57ddb09d01611209c4595ab2d0c55
设备10,397,2,0,54,28,315,0,6837,3367,c6e01695dd0457f3020f64732fb1ba82588cf73179a8e133bd80d9c6acb97b46,45386fead94e12d5f7131a526b941ab9cdb225f8b7ec7757bd95516e3683dd4a
设备11,299,2,0,29,2,268,0,6916,3288,dd63949a6970c9d23e27d53e01a98a276cec567559e5166d2938be96b0cb4e14,6a88a246909ef10d9510f5d8deb88568276f9269059a2b2425f4ee1c26ef8437
设备12,4694,2,0,96,1228,3370,0,913,9291,a575aed9077c886f5264676522a2e0bf20d1cc3798a68438efea2329f2a083a7,2167430489cfbdf6ca397df74493b1e2d03d91c12b9c1b5eeaf3859af283722b
设备13,158,2,0,3,2,153,0,5388,4816,157f356bfeba9bf083f5b5bc62c220de8f562dcb4385e10be592833c3ef3482c,5b43544d13701e06fd0baf00953996f9dafa9b2fa234df1123b4556bff0df977
设备14,633,2,0,222,57,354,0,4500,5704,3ad1242513ae0d69c27f9b2f77b1833b0e1ad93576f15d7a3121f7b2aba64b31,bd1cdff26c6350a0156fa0ad276f953656cc181943a8e853588f53c1d6ac115e
设备15,96,2,0,0,19,77,0,7816,2388,4b4e0c447bc094dab573234619b9a71c90f30e025c1006e2342e647cbc656d9c,b2736e5fd86a8194b4ccd1555fd434ab90f3e585a7fcef6ff170688d8c951342
设备16,65,2,0,10,0,55,0,8186,2018,106871ea9a253e3f1dc06f6afda5884ae621da53923e00ae5d3e7d61023d9581,1ea820eb676214d3c168a1d3d4e65ed6084790713383e6f9f05aff71a7a1e817
设备17,727,2,0,138,142,447,0,2536,7668,5ac35fed5b6e768eee9b6ca128eea179857f7da0ea26cbe24d49584838c401ae,667b21a1939073ebe4236165231c521c14ade90889002b9f5e9e57ca2e9d4e37
设备18,767,2,0,648,0,119,0,5497,4707,997137572fa4a5a0cc4389887a71cbd31b34ed9ea314fae5471db4478f6c3e0d,7e5a36697c523ee45da44abb340f6589613f71853356ee0bc9271d539b1d75b7
设备19,322,2,0,45,57,220,0,3751,6453,6f754e5399e94f2ca47191708be1302ae19b4080c3b8963500c8e36740c062e8,a643bf4e2477e43a5c4bc965111058811599661ed4ad11eaf31a2242710d93eb
设备20,134,2,0,2,47,85,0,6783,3421,b9789bf01814ccaf2eaf08cd7b5f4abfc8415e0e2c50e84980b4f62656d3767a,0300902f3844532aa2e0b3ea40b453aa884479d497a66666dadd16c7ae8abf17
设备21,62,2,0,23,4,35,0,6946,3258,fbf9e6d2fbc86179401be6d5663c57cf8b9afcd7b8cef538c41df9f2b659339c,17e66caa5583ae949f201d2716823810e7b001cb9efb43dfee1eef97e79f3382
设备22,34,2,0,5,1,28,0,8003,2201,87b19658f967e57f77fe882e5aab00c667cef9cd0eba5693e4221c337ca50822,dff4e2d8eef5a7e6ccc225656775987c147acf4cdd41f0e890202b82e58774e9
设备23,182,2,0,4,2,176,0,3967,6237,8ca25b6dd7ff62bc2a6711e3db95a8eb1fcc63364e51171621abe8ee53e2023a,caf54d37cf75e74242da8de7a505e9e035d6a3a59b34a3637dd7e9392eba8f5e
