device,fold,seq_len,train_windows,train_positive,val_windows,val_positive,test_windows,test_positive,status
设备0,0,3,3981,171,497,6,497,19,ready
设备0,0,6,3966,171,494,6,494,19,ready
设备0,0,12,3936,169,488,6,488,19,ready
设备0,0,24,3876,168,476,4,476,19,ready
设备0,1,3,3986,175,489,15,497,6,ready
设备0,1,6,3974,175,480,15,494,6,ready
设备0,1,12,3950,173,462,15,488,6,ready
设备0,1,24,3902,173,426,14,476,4,ready
设备0,2,3,3986,177,497,4,489,15,ready
设备0,2,6,3974,177,494,4,480,15,ready
设备0,2,12,3950,175,488,4,462,15,ready
设备0,2,24,3902,171,476,4,426,14,ready
设备0,3,3,3979,174,496,18,497,4,ready
设备0,3,6,3961,174,493,18,494,4,ready
设备0,3,12,3925,172,487,18,488,4,ready
设备0,3,24,3853,172,475,14,476,4,ready
设备0,4,3,3979,144,497,34,496,18,ready
设备0,4,6,3961,144,494,34,493,18,ready
设备0,4,12,3925,141,488,34,487,18,ready
设备0,4,24,3853,140,476,34,475,14,ready
设备0,5,3,3978,132,497,31,497,34,ready
设备0,5,6,3960,132,494,31,494,34,ready
设备0,5,12,3924,130,488,30,488,34,ready
设备0,5,24,3852,130,476,29,476,34,ready
设备0,6,3,3978,129,497,37,497,31,ready
设备0,6,6,3960,129,494,37,494,31,ready
设备0,6,12,3924,127,488,37,488,30,ready
设备0,6,24,3852,125,476,37,476,29,ready
设备0,7,3,3981,144,494,16,497,37,ready
设备0,7,6,3966,144,488,16,494,37,ready
设备0,7,12,3936,142,476,16,488,37,ready
设备0,7,24,3876,142,452,14,476,37,ready
设备0,8,3,3988,166,493,15,494,16,ready
设备0,8,6,3979,166,487,15,488,16,ready
设备0,8,12,3961,166,475,13,476,16,ready
设备0,8,24,3925,166,451,13,452,14,ready
设备0,9,3,3985,162,497,19,493,15,ready
设备0,9,6,3973,162,494,19,487,15,ready
设备0,9,12,3949,162,488,19,475,13,ready
设备0,9,24,3901,160,476,19,451,13,ready
设备10,0,3,2681,143,328,13,333,33,ready
设备10,0,6,2669,143,319,13,330,33,ready
设备10,0,12,2645,143,301,12,324,33,ready
设备10,0,24,2597,143,265,10,312,33,ready
设备10,1,3,2677,154,334,21,328,13,ready
设备10,1,6,2662,154,331,21,319,13,ready
设备10,1,12,2632,154,325,21,301,12,ready
设备10,1,24,2572,151,313,21,265,10,ready
设备10,2,3,2672,138,333,29,334,21,ready
设备10,2,6,2651,138,330,29,331,21,ready
设备10,2,12,2609,138,324,29,325,21,ready
设备10,2,24,2525,137,312,26,313,21,ready
设备10,3,3,2672,131,334,28,333,29,ready
设备10,3,6,2651,131,331,28,330,29,ready
设备10,3,12,2609,131,325,28,324,29,ready
设备10,3,24,2525,130,313,27,312,26,ready
设备10,4,3,2671,140,334,20,334,28,ready
设备10,4,6,2650,140,331,20,331,28,ready
设备10,4,12,2608,140,325,20,325,28,ready
设备10,4,24,2524,139,313,19,313,27,ready
设备10,5,3,2672,143,333,25,334,20,ready
设备10,5,6,2651,143,330,25,331,20,ready
设备10,5,12,2609,143,324,25,325,20,ready
设备10,5,24,2525,143,312,24,313,19,ready
设备10,6,3,2675,148,331,15,333,25,ready
设备10,6,6,2657,148,325,15,330,25,ready
设备10,6,12,2621,148,313,15,324,25,ready
设备10,6,24,2549,148,289,15,312,24,ready
设备10,7,3,2677,173,331,1,331,15,ready
设备10,7,6,2662,173,325,1,325,15,ready
设备10,7,12,2632,173,313,1,313,15,ready
设备10,7,24,2572,173,289,1,289,15,ready
设备10,8,3,2681,186,330,2,331,1,ready
设备10,8,6,2669,186,324,2,325,1,ready
设备10,8,12,2645,186,312,2,313,1,ready
设备10,8,24,2597,186,288,2,289,1,ready
设备10,9,3,2679,154,333,33,330,2,ready
设备10,9,6,2664,154,330,33,324,2,ready
设备10,9,12,2634,153,324,33,312,2,ready
设备10,9,24,2574,151,312,33,288,2,ready
设备11,0,3,2618,121,320,16,325,30,ready
设备11,0,6,2606,121,311,16,322,30,ready
设备11,0,12,2582,121,293,14,316,30,ready
设备11,0,24,2534,121,257,13,304,30,ready
设备11,1,3,2614,135,326,14,320,16,ready
设备11,1,6,2599,135,323,14,311,16,ready
设备11,1,12,2569,135,317,14,293,14,ready
设备11,1,24,2509,133,305,14,257,13,ready
设备11,2,3,2608,125,326,25,326,14,ready
设备11,2,6,2587,125,323,25,323,14,ready
设备11,2,12,2545,125,317,25,317,14,ready
设备11,2,24,2461,124,305,23,305,14,ready
设备11,3,3,2609,111,325,28,326,25,ready
设备11,3,6,2588,111,322,28,323,25,ready
设备11,3,12,2546,111,316,28,317,25,ready
设备11,3,24,2462,111,304,27,305,23,ready
设备11,4,3,2609,124,326,14,325,28,ready
设备11,4,6,2588,124,323,14,322,28,ready
设备11,4,12,2546,124,317,14,316,28,ready
设备11,4,24,2462,123,305,14,304,27,ready
设备11,5,3,2608,135,326,16,326,14,ready
设备11,5,6,2587,134,323,16,323,14,ready
设备11,5,12,2545,132,317,16,317,14,ready
设备11,5,24,2461,131,305,15,305,14,ready
