Device_Name,Raw_Events,Original_Hours,Removed_Hours,Cleaned_Hours,Gap_Count,Source_SHA256,Output_SHA256
设备0,630,10204,5206,4998,5,91a9e26263dd7504f73a6de98d08223f6a95a745e0bb10be8aa40950fd2f70b3,a564073e0a4a6f0e2dee95b38335a39734ced4b31928dad1b21fba214d9305a0
设备1,328,10204,5487,4717,9,e38d65cdf6816e94ad1220f5fd388f5e1393ae41f5bf11f974b415883718e841,14f3cbb4f1cb7019b6347e70c2d4415edd1bac1881bb2d1fb5fff200e9f33e85
设备2,591,10204,1461,8743,2,a44ec60d6e98a99d3a991df6bb6367e75e70a593f1116cdd3db98c874fed6d3e,9ce4d017a209bf8f9d7bd7f19ea148ae30f8f74cb196356ffa1e270671b04fb7
设备3,114,10204,4153,6051,6,7716cec5752ecf7e9d00a432406698bce55d5c45432c79d26fb838b59e15d973,b75ebf5fedf3475df47b1bbf7dcadbf5a900a45e39eda57e8120fa5c57e6630a
设备4,207,10204,6079,4125,8,b76991f23f67f3f4f4d3569fad8b53924855f0f636dcddac76b830ca98f33467,26a598a125ba3c63d75803c061b858488f82603b6b6580928e1a14766b1041c2
设备5,834,10204,1637,8567,2,077f666511a2057460400bd2e8771012054e7dff0fe5cd4c9772d5a189e778a5,38d70f0fc6dadd6b432c5da84b5f67462750f713d735c8bd6c5cf77bb01e165e
设备6,3151,10204,2285,7919,2,e76445f7225555caac40628cc7156e81934cba6d619052e50b8e97b920c77da2,9bc470986b7f08b24e5493d49f556e879c9a62988c40ab750518e2e7bb7d2d5b
设备7,418,10204,7925,2279,0,73aef9cf168c2b670cb9cee74d8f861815042fd04b1ddbbe443bc7b647750c6a,fc4b5821b5bce3271de163cd442bafc60091f97c2bb7809a69bea93a3e01583a
设备8,175,10204,8913,1291,1,544e4e594f26d24ecf79ab4ce43223fe088efbebfcb26d8be4a244dd5e04770c,e5cd7f9bbe5179b5644ed8db10d893484fddaf0c58c9d98935c6d28444098dca
设备9,126,10204,8913,1291,1,f11a3570049305df0711c6b5911dfc99d1672edeace187f8aab6e391b2460f98,156dd70cc3fd73c7e2e4054b712067d076a65a7f37f8e75ae530e4b1b9affd15
设备10,397,10204,6837,3367,6,c6e01695dd0457f3020f64732fb1ba82588cf73179a8e133bd80d9c6acb97b46,2bd3fd72bdd2dee49c0c8b02bc50ac69ce80b1be12d2f44b1fe246deb10d6f33
设备11,299,10204,6916,3288,6,dd63949a6970c9d23e27d53e01a98a276cec567559e5166d2938be96b0cb4e14,e99ccba3a82584469e5e0b03c041cb733beb90929086bf305032a999637bdb59
设备12,4694,10204,913,9291,1,a575aed9077c886f5264676522a2e0bf20d1cc3798a68438efea2329f2a083a7,dc113d89d8e42b3febe226547db612324ccc475e3979a05f5cd1d370128839a3
设备13,158,10204,5388,4816,7,157f356bfeba9bf083f5b5bc62c220de8f562dcb4385e10be592833c3ef3482c,6f372d082fd49ea4a2c9974043061f354990444347910dadffbf3755aa5a2847
设备14,633,10204,4497,5707,3,3ad1242513ae0d69c27f9b2f77b1833b0e1ad93576f15d7a3121f7b2aba64b31,082705beeae29cd647b55fb89f333056d75ec20e61a80b7d0d514864e43c248c
设备15,96,10204,7816,2388,1,4b4e0c447bc094dab573234619b9a71c90f30e025c1006e2342e647cbc656d9c,e26bbfd1e36ca4c2db18d24d49117208fc72a48c2023a970cc57794ff17d1366
设备16,65,10204,7075,3129,7,106871ea9a253e3f1dc06f6afda5884ae621da53923e00ae5d3e7d61023d9581,6ce583384c94b65c1711a99d2e56bd8b6231eeaf18e80261a59d2e2bd590ba1c
设备17,727,10204,2448,7756,4,5ac35fed5b6e768eee9b6ca128eea179857f7da0ea26cbe24d49584838c401ae,1a14e39038fcf977f4d4228729449fa67610e4c8c8eaa2fa43bb784936590651
设备18,767,10204,5311,4893,9,997137572fa4a5a0cc4389887a71cbd31b34ed9ea314fae5471db4478f6c3e0d,35750787155a7fe69260fbbf91d576c61a378702c3e80f724fd35ea2b8d8922f
