Device_Name,Start,End,Removed_Hours
设备0,2013-01-10 08:34:27,2013-04-08 10:34:27,2115
设备0,2013-05-21 16:34:27,2013-06-13 07:34:27,544
设备0,2013-06-14 11:34:27,2013-07-01 08:34:27,406
设备0,2013-07-01 11:34:27,2013-08-15 14:34:27,1084
设备0,2013-12-26 10:34:27,2014-01-21 13:34:27,628
设备0,2014-02-14 11:34:27,2014-03-04 07:34:27,429
设备1,2013-01-30 09:34:27,2013-02-13 16:34:27,344
设备1,2013-02-13 18:34:27,2013-03-05 11:34:27,474
设备1,2013-05-14 02:34:27,2013-06-06 08:34:27,559
设备1,2013-06-14 11:34:27,2013-06-29 18:34:27,368
设备1,2013-07-03 10:34:27,2013-09-14 12:34:27,1755
设备1,2013-09-14 17:34:27,2013-10-12 07:34:27,663
设备1,2013-12-21 03:34:27,2014-01-13 13:34:27,563
设备1,2014-01-16 15:34:27,2014-01-30 23:34:27,345
设备1,2014-01-31 01:34:27,2014-02-17 08:34:27,416
设备2,2013-07-04 13:34:27,2013-08-15 13:34:27,1009
设备2,2014-01-27 18:34:27,2014-02-15 13:34:27,452
设备3,2013-01-10 08:34:27,2013-02-05 12:34:27,629
设备3,2013-02-18 16:34:27,2013-03-04 21:34:27,342
设备3,2013-05-19 12:34:27,2013-06-06 15:34:27,436
设备3,2013-06-28 10:34:27,2013-08-25 18:34:27,1401
设备3,2013-09-13 20:34:27,2013-09-29 16:34:27,381
设备3,2014-01-24 12:34:27,2014-02-15 18:34:27,535
设备3,2014-02-15 20:34:27,2014-03-05 16:34:27,429
设备4,2013-02-05 10:34:27,2013-03-13 18:34:27,873
设备4,2013-03-13 21:34:27,2013-04-10 18:34:27,670
设备4,2013-04-18 14:34:27,2013-05-13 09:34:27,596
设备4,2013-05-13 14:34:27,2013-06-04 07:34:27,522
设备4,2013-06-18 15:34:27,2013-08-22 15:34:27,1561
设备4,2013-09-16 15:34:27,2013-10-09 15:34:27,553
设备4,2013-11-29 22:34:27,2013-12-27 09:34:27,660
设备4,2014-01-21 13:34:27,2014-02-17 08:34:27,644
设备5,2013-02-05 10:34:27,2013-03-01 09:34:27,576
设备5,2013-07-02 10:34:27,2013-08-15 14:34:27,1061
设备6,2013-01-10 08:34:27,2013-02-05 08:34:27,625
设备6,2013-02-05 10:34:27,2013-03-01 09:34:27,576
设备6,2013-07-01 11:34:27,2013-08-15 14:34:27,1084
设备7,2013-01-10 08:34:27,2013-09-17 11:34:27,6004
设备7,2013-12-21 11:34:27,2014-03-11 11:34:27,1921
设备8,2013-01-10 08:34:27,2013-03-05 16:34:27,1305
设备8,2013-04-17 18:34:27,2013-05-03 08:34:27,375
设备8,2013-05-14 03:34:27,2014-03-11 11:34:27,7233
设备9,2013-01-10 08:34:27,2013-03-05 16:34:27,1305
设备9,2013-04-17 18:34:27,2013-05-03 08:34:27,375
设备9,2013-05-14 03:34:27,2014-03-11 11:34:27,7233
设备10,2013-01-10 08:34:27,2013-03-21 16:34:27,1689
设备10,2013-03-21 18:34:27,2013-04-14 14:34:27,573
设备10,2013-05-02 10:34:27,2013-09-03 09:34:27,2976
设备10,2013-09-10 11:34:27,2013-09-30 08:34:27,478
设备10,2013-12-24 09:34:27,2014-01-10 09:34:27,409
设备10,2014-01-23 17:34:27,2014-02-07 15:34:27,359
设备10,2014-02-20 17:34:27,2014-03-07 09:34:27,353
设备11,2013-01-10 08:34:27,2013-03-21 16:34:27,1689
设备11,2013-03-21 18:34:27,2013-04-14 14:34:27,573
设备11,2013-05-02 10:34:27,2013-09-03 09:34:27,2976
设备11,2013-09-10 11:34:27,2013-09-30 09:34:27,479
设备11,2013-12-21 03:34:27,2014-01-10 09:34:27,487
设备11,2014-01-23 17:34:27,2014-02-07 15:34:27,359
设备11,2014-02-20 17:34:27,2014-03-07 09:34:27,353
设备12,2013-07-08 09:34:27,2013-08-15 09:34:27,913
设备13,2013-01-25 11:34:27,2013-03-13 18:34:27,1136
设备13,2013-06-29 22:34:27,2013-08-15 21:34:27,1128
设备13,2013-09-09 15:34:27,2013-10-13 11:34:27,813
设备13,2013-10-30 18:34:27,2013-11-19 19:34:27,482
设备13,2013-11-29 22:34:27,2013-12-15 05:34:27,368
设备13,2013-12-15 11:34:27,2014-01-13 13:34:27,699
设备13,2014-01-16 15:34:27,2014-02-17 08:34:27,762
设备14,2013-01-10 08:34:27,2013-04-08 07:34:27,2112
设备14,2013-06-09 11:34:27,2013-06-27 13:34:27,435
设备14,2013-07-01 12:34:27,2013-08-22 14:34:27,1251
设备14,2013-08-27 11:34:27,2013-09-25 13:34:27,699
设备15,2013-04-18 14:34:27,2013-05-13 09:34:27,596
设备15,2013-05-14 16:34:27,2014-03-11 11:34:27,7220
设备16,2013-02-16 08:34:27,2013-03-13 18:34:27,611
设备16,2013-03-27 21:34:27,2013-04-16 12:34:27,472
设备16,2013-04-18 14:34:27,2013-05-13 10:34:27,597
设备16,2013-05-14 16:34:27,2013-10-24 07:34:27,3904
设备16,2013-10-30 12:34:27,2013-11-25 16:34:27,629
设备16,2013-12-02 02:34:27,2013-12-19 09:34:27,416
设备16,2014-01-29 19:34:27,2014-02-17 08:34:27,446
设备17,2013-06-06 17:34:27,2013-06-25 07:34:27,447
设备17,2013-07-04 10:34:27,2013-08-15 13:34:27,1012
设备17,2013-09-06 09:34:27,2013-09-23 14:34:27,414
设备17,2014-01-23 16:34:27,2014-02-16 14:34:27,575
设备18,2013-03-09 02:34:27,2013-04-09 13:34:27,756
设备18,2013-04-09 15:34:27,2013-04-29 19:34:27,485
设备18,2013-06-06 17:34:27,2013-06-25 23:34:27,463
设备18,2013-07-03 19:34:27,2013-08-28 20:34:27,1346
设备18,2013-08-28 22:34:27,2013-09-23 14:34:27,617
设备18,2013-09-23 16:34:27,2013-10-08 08:34:27,353
设备18,2013-10-18 04:34:27,2013-11-08 08:34:27,509
设备18,2014-01-13 15:34:27,2014-01-29 18:34:27,388
设备18,2014-02-14 15:34:27,2014-03-03 00:34:27,394
设备19,2013-01-10 08:34:27,2013-02-01 10:34:27,531
设备19,2013-02-01 12:34:27,2013-02-22 12:34:27,505
设备19,2013-06-06 17:34:27,2013-06-25 23:34:27,463
设备19,2013-07-05 18:34:27,2013-08-21 09:34:27,1120
设备19,2014-01-13 15:34:27,2014-02-11 13:34:27,695
设备19,2014-02-11 15:34:27,2014-03-01 19:34:27,437
设备20,2013-01-10 08:34:27,2013-02-26 14:34:27,1135
设备20,2013-03-09 02:34:27,2013-04-09 13:34:27,756
设备20,2013-04-09 15:34:27,2013-04-29 19:34:27,485
设备20,2013-06-06 17:34:27,2013-06-25 23:34:27,463
设备20,2013-07-03 19:34:27,2013-08-28 20:34:27,1346
设备20,2013-08-29 08:34:27,2013-09-23 14:34:27,607
设备20,2013-09-23 19:34:27,2013-10-08 08:34:27,350
设备20,2013-10-18 05:34:27,2013-11-08 08:34:27,508
设备20,2014-01-13 15:34:27,2014-03-01 19:34:27,1133
设备21,2013-01-29 10:34:27,2013-03-13 18:34:27,1041
设备21,2013-03-25 11:34:27,2013-04-18 12:34:27,578
设备21,2013-05-13 12:34:27,2013-06-06 08:34:27,573
设备21,2013-06-14 11:34:27,2013-06-29 19:34:27,369
设备21,2013-06-29 21:34:27,2013-08-23 14:34:27,1314
